city,latitude,longitude,temp_max_F,humid,cloud,wind_mph
saldanha,-33.0117,17.9442,42.85,61,89,10.78
ushuaia,-54.8,-68.3,33.46,75,75,6.91
nikolskoye,59.7035,30.7861,54.79,97,38,4.09
basco,20.4487,121.9702,83.17,76,75,17.4
mahebourg,-20.4081,57.7,71.26,60,40,14.97
bluff,-46.6,168.3333,46.8,77,100,6.76
sao filipe,14.8961,-24.4956,73.63,86,29,3.85
kashi,39.4547,75.9797,78.22,77,75,6.71
cape town,-33.9258,18.4232,52.88,82,65,5.01
kemi,65.8596,24.8228,44.37,76,0,5.75
alofi,-19.0595,-169.9187,80.49,65,75,12.66
coihaique,-45.5752,-72.0662,42.75,87,0,3.44
kadungora,-7.0899,107.8864,80.8,76,28,2.55
cape town,-33.9258,18.4232,52.88,82,65,5.01
constanza,47.6603,9.1758,64.36,85,0,4.0
bourail,-21.5667,165.4833,73.0,66,61,6.22
hermanus,-34.4187,19.2345,47.89,73,53,17.25
ivybridge,50.3904,-3.9191,67.55,84,4,3.98
khatanga,71.9667,102.5,58.28,77,100,12.88
lasa,46.6166,10.7002,63.86,76,0,3.27
mataura,-46.1927,168.8643,46.47,79,100,2.48
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
punta arenas,-53.15,-70.9167,35.71,93,40,3.44
busselton,-33.65,115.3333,58.08,87,70,15.03
cidreira,-30.1811,-50.2056,49.77,73,31,5.79
ambon,-3.6954,128.1814,75.34,100,40,3.44
torbay,47.6666,-52.7314,67.68,97,90,16.11
tabou,4.423,-7.3528,75.61,75,17,7.47
atuona,-9.8,-139.0333,77.77,74,97,24.29
san rafael,-34.6177,-68.3301,54.03,20,22,2.1
nadym,65.5333,72.5167,66.63,71,100,13.0
albany,42.6001,-73.9662,72.36,84,42,4.0
port hardy,50.6996,-127.4199,62.78,63,75,5.75
faanui,-16.4833,-151.75,78.71,76,25,22.17
hilo,19.7297,-155.09,78.24,86,90,9.22
acapulco,16.8634,-99.8901,82.15,83,32,7.49
cape town,-33.9258,18.4232,52.88,82,65,5.01
new norfolk,-42.7826,147.0587,54.91,79,100,3.0
arvika,59.6553,12.5852,57.81,56,95,6.44
albany,42.6001,-73.9662,72.36,84,42,4.0
sept-iles,50.2001,-66.3821,60.06,90,20,2.3
sitka,57.0531,-135.33,60.69,72,40,10.36
henties bay,-22.116,14.2845,54.86,91,1,10.51
bambanglipuro,-7.95,110.2833,82.35,69,49,10.09
washougal,45.5826,-122.3534,79.36,45,1,10.36
ribeira grande,38.5167,-28.7,68.81,80,37,15.7
mataura,-46.1927,168.8643,46.47,79,100,2.48
cherskiy,68.75,161.3,65.97,40,60,7.87
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
constitucion,-35.3333,-72.4167,54.99,80,100,4.85
ushuaia,-54.8,-68.3,33.46,75,75,6.91
northam,51.0333,-4.2167,68.31,94,0,1.72
east london,-33.0153,27.9116,55.27,69,100,19.46
bluff,-46.6,168.3333,46.8,77,100,6.76
lebu,-37.6167,-73.65,52.16,95,100,7.38
port alfred,-33.5906,26.891,53.91,75,100,23.31
lhokseumawe,5.1801,97.1507,80.55,72,93,4.36
mahebourg,-20.4081,57.7,71.26,60,40,14.97
atuona,-9.8,-139.0333,77.77,74,97,24.29
ulladulla,-35.35,150.4667,57.87,48,31,17.52
faanui,-16.4833,-151.75,78.71,76,25,22.17
vaini,-21.2,-175.2,80.76,83,40,6.91
kununurra,-15.7667,128.7333,84.18,14,100,9.22
ambilobe,-13.2,49.05,67.62,77,2,4.81
oussouye,12.485,-16.5469,82.58,83,100,5.59
hilo,19.7297,-155.09,78.24,86,90,9.22
mar del plata,-38.0023,-57.5575,49.12,56,0,3.0
borovoy,55.4333,86.0833,69.08,68,0,8.95
ushuaia,-54.8,-68.3,33.46,75,75,6.91
port lincoln,-34.7333,135.8667,53.74,58,100,8.77
nikolskoye,59.7035,30.7861,54.79,97,38,4.09
curuca,-0.7289,-47.8481,73.38,96,14,4.27
busselton,-33.65,115.3333,58.08,87,70,15.03
arraial do cabo,-22.9661,-42.0278,64.99,65,56,8.23
mar del plata,-38.0023,-57.5575,49.12,56,0,3.0
atuona,-9.8,-139.0333,77.77,74,97,24.29
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
lompoc,34.6391,-120.4579,74.1,80,1,14.97
saskylakh,71.9167,114.0833,54.21,82,100,11.52
klaksvik,62.2266,-6.589,52.72,96,59,9.66
vredendal,-31.6683,18.5012,43.93,82,3,1.32
faanui,-16.4833,-151.75,78.71,76,25,22.17
paita,-5.0892,-81.1144,66.2,85,0,12.21
praya,14.9215,-23.5087,75.74,83,40,2.3
diamantino,-14.4086,-56.4461,65.91,27,2,3.89
atuona,-9.8,-139.0333,77.77,74,97,24.29
birobidzhan,48.8,132.95,85.98,62,1,4.94
lebedinyy,58.5167,125.5167,62.37,95,100,5.64
ushuaia,-54.8,-68.3,33.46,75,75,6.91
vaini,-21.2,-175.2,80.76,83,40,6.91
christiana,-27.914,25.1611,42.49,71,100,12.62
ushuaia,-54.8,-68.3,33.46,75,75,6.91
sitka,57.0531,-135.33,60.69,72,40,10.36
vaini,-21.2,-175.2,80.76,83,40,6.91
jamestown,42.097,-79.2353,71.24,83,1,9.22
mashhad,36.297,59.6062,77.14,38,0,6.91
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
colares,38.7992,-9.4469,65.28,75,25,11.99
busselton,-33.65,115.3333,58.08,87,70,15.03
qaanaaq,77.484,-69.3632,37.92,89,97,0.67
castro,-24.7911,-50.0119,44.1,63,100,1.99
jamestown,42.097,-79.2353,71.24,83,1,9.22
atuona,-9.8,-139.0333,77.77,74,97,24.29
songjianghe,42.1859,127.479,83.57,49,21,3.76
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
rikitea,-23.1203,-134.9692,71.1,65,71,22.62
bethel,41.3712,-73.414,75.81,89,1,3.44
merauke,-8.4667,140.3333,82.2,62,80,15.97
khatanga,71.9667,102.5,58.28,77,100,12.88
qaanaaq,77.484,-69.3632,37.92,89,97,0.67
arraial do cabo,-22.9661,-42.0278,64.99,65,56,8.23
magway,20.15,94.9167,81.27,77,98,13.6
mataura,-46.1927,168.8643,46.47,79,100,2.48
upernavik,72.7868,-56.1549,42.1,85,100,8.28
mataura,-46.1927,168.8643,46.47,79,100,2.48
chiang khong,20.2613,100.4046,79.12,99,100,0.94
carnarvon,-24.8667,113.6333,71.67,68,90,10.36
monywa,22.1167,95.1333,80.56,82,100,10.71
kapaa,22.0752,-159.319,85.98,75,75,5.01
kolondieba,11.0882,-6.8926,75.22,77,57,5.06
mar del plata,-38.0023,-57.5575,49.12,56,0,3.0
kapaa,22.0752,-159.319,85.98,75,75,5.01
vardo,70.3705,31.1107,43.11,86,100,14.14
provideniya,64.3833,-173.3,55.51,62,75,8.95
